DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,
102,Nguyễn Thị Nhung,Giải pháp nâng cao hiệu quả huy động vốn tiền gửi tại Ngân hàng thương mại cổ phần Á Châu chi nhánh Quảng Ninh," Ngân hàng là ngành đòi hỏi phải có sự phát triển nhanh hơn một bước so với các ngành kinh tế khác. Hoạt động Ngân hàng là một trong những mắt xích quan trọng cấu thành sự vận động nhịp nhàng của nền kinh tế. Bởi vì, ngân hàng là một ngành kinh doanh tiền tệ mà tiền tệ là một “hàng hóa” đặc biệt cho nên một sự biến động nhỏ trên thị trường cũng tác động đến nền kinh tế. Cùng với sự chuyển đổi cơ cấu kinh tế của đất nước, hệ thống ngân hàng cũng có những bước chuyển mình cho phù hợp với điều kiện và hoàn cảnh kinh tế mới.",Tài chính ngân hàng; Hiệu quả; Huy động vốn tiền gửi; Ngân hàng thương mại cổ phần Á Châu; Chi nhánh Quảng Ninh,2013,Trường Đại học Dân lập Hải Phòng,90,1.049,Khóa luận,Tài chính ngân hàng,9_NguyenThiNhung_QT1302T.pdf
103,Lưu Thùy Dương,Một số biện pháp nâng cao chất lượng tín dụng ngắn hạn tại Ngân hàng TMCP Ngoại thương Việt Nam - chi nhánh Hải Phòng,,Tài chính ngân hàng; Chất lượng tín dụng; Tín dụng ngắn hạn; Ngân hàng Ngoại thương Việt Nam; Chi nhánh Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,89,1.03,Khóa luận,Tài chính ngân hàng,10_LuuThuyDuong_QT1302T.pdf
104,Nguyễn Thị Thủy,Một số giải pháp nhằm nâng cao hiệu quả hoạt động tín dụng tại ngân hàng TMCP Sài Gòn Công Thương chi nhánh Hải Phòng,,Tài chính ngân hàng; Hiệu quả hoạt động; Tín dụng tại; Ngân hàng Sài Gòn Công Thương; Chi nhánh Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,95,1.778,Khóa luận,Tài chính ngân hàng,11_NguyenThiThuy_QT1303T.pdf
105,Lê Thị Việt Anh,"Giải pháp mở rộng và nâng cao hiệu quả tín dụng tiêu dùng tại ngân hàng TMCP Sài Gòn thương tín - chi nhánh Hải Phòng
","Kết cấu khóa luận gồm 3 chương như sau:
Chương 1: Lý luận cơ bản về tín dụng tiêu dùng và hiệu quả tín dụng tiêu dùng của Ngân hàng thương mại .
Chương 2: Thực trạng cao nâng hiệu quả tín dụng tiêu dùng tại Ngân hàng TMCP Sài Gòn thương tín Chi nhánh Hải Phòng
Chương 3: Giải pháp nâng cao hiệu quả tín dụng tiêu dùng tại Ngân hàng TMCP Sài Gòn thương tín Chi nhánh Hải Phòng
",Tài chính ngân hàng; Hiệu quả tín dụng; Tín dụng tiêu dùng; Ngân hàng Sài Gòn thương tín; Chi nhánh Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,84,927,Khóa luận,Tài chính ngân hàng,12_LeThiVietAnh_QT1301T.pdf
106,Đỗ Hồng Vân ,Vận dụng quy trình tín dụng của Ngân hàng TMCP Công thương Việt Nam-chi nhánh Hồng Bàng để xác định hạn mức tín dụng cho công ty cổ phần Nga Vinh,"Vận dụng quy trình cấp tín dụng để xác định hạn mức cho vay nhằm thỏa mãn nhu cầu của khách hàng giúp tối đa hóa lợi nhuận đồng thời tránh tình trạng cho vay quá mức ảnh hưởng tới khả năng thu nợ là vấn đề luôn được các ngân hàng quan tâm. Bên cạnh đó, hiểu được phương pháp xác định hạn mức tín dụng cũng như ưu điểm của phương pháp cho vay này giúp các doanh nghiệp lựa chọn phương thức huy động vốn hiệu quả.",Tài chính ngân hàng; Quy trình tín dụng; Hạn mức tín dụng; Ngân hàng Công thương Việt Nam; Chi nhánh Hồng Bàng; Công ty cổ phần Nga Vinh,2013,Trường Đại học Dân lập Hải Phòng,109,1.887,Khóa luận,Tài chính ngân hàng,13_DoHongVan_QT1303T.pdf
107, Bùi Thị Thu Huyền ,Một số giải pháp nâng cao hiệu quả hoạt động tín dụng tại Ngân hàng Thương mại cổ phần Xuất Nhập Khẩu Việt Nam – Chi nhánh Quảng Ninh,"Trong hoạt động ngân hàng thì hoạt động tín dụng là một lĩnh vực quan trọng, quan hệ tín dụng là quan hệ xương sống, quyết định mọi hoạt động kinh tế trong nền kinh tế quốc dân, nó còn là nguồn sinh lợi chủ yếu, quyết định sự tồn tại, phát triển của ngân hàng.Tuy nhiên, hoạt động tín dụng ngân hàng lại là hoạt động chứa đựng nhiều rủi ro.",Tài chính ngân hàng; Hiệu quả hoạt động; Hoạt động tín dụng; Ngân hàng thương mại cổ phần xuất nhập khẩu; Chi nhánh Quảng Ninh,2013,Trường Đại học Dân lập Hải Phòng,96,1.338,Khóa luận,Tài chính ngân hàng,14_BuiThiThuHuyen_QT1301T.pdf
108,Phạm Quỳnh Nga,Giải pháp nâng cao chất lượng tín dụng tại Ngân hàng Phát triển – Chi nhánh Hải Phòng,Đề tài tổng hợp và làm rõ các vấn đề lý luận về công tác nâng cao chất lương tín dụng tại ngân hàng phát triển. Từ đó phân tích đánh giá hoạt động tín dụng chất lượng của ngân hàng phát triển Việt nam – chi nhánh Hải phòng trong giai đoạn từ năm 2010 đến 2012 qua đó đưa ra những giải pháp nâng cao chất lượng tín dụng tại Ngân hàng trong giai đoạn sắp tới 2012-2015.,Tài chính ngân hàng; Nâng cao chất lượng; Tín dụng; Ngân hàng Phát triển; Chi nhánh Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,83,907,Khóa luận,Tài chính ngân hàng,15_PhamQuynhNga_QT1302T.pdf
109,Nguyễn Hà Ngân,Một số giải pháp nâng cao hiệu quả hoạt động huy động vốn tại Chi nhánh ngân hàng nông nghiệp và phát triển nông thôn thị xã Quảng Yên,"NHNN&PTNT thị xã Quảng Yên nằm trong hệ thống chi nhánh của Agribank tỉnh Quảng Ninh. Trong giai đoạn khó khăn của nền kinh tế đất nước cũng như khó khăn chung của ngành ngân hàng những năm gần đây, Ngân hàng đã không ngừng cố gắng vượt qua mọi thử thách, nỗ lực vươn lên để tồn tại và phát triển bền vững, đồng thời luôn xứng đáng là người bạn đồng hành với các doanh nghiệp, bà con nông dân, góp phần tích cực vào việc thực hiện mục tiêu phát triển kinh tế của địa phương.",Tài chính ngân hàng; Hiệu quả hoạt động; Huy động vốn; Chi nhánh ngân hàng nông nghiệp và phát triển nông thôn; Thị xã Quảng Yên,2013,Trường Đại học Dân lập Hải Phòng,105,1.625,Khóa luận,Tài chính ngân hàng,16_NguyenHaNgan_QT1301T.pdf
110,Phạm Thị Hiền,Giải pháp nâng cao chất lượng tín dụng khách hàng cá nhân tại Ngân hàng thương mại cổ phần Công thương Việt Nam - Chi nhánh Hồng Bàng,"Ngoài phần mở đầu và kết luận, kết cấu chuyên đề gồm 3 chương:
Chương I: Lý luận chung về chất lượng tín dụng – chất lượng tín dụng cá nhân của NHTM.
Chương II: Thực trạng chất lượng tín dụng cá nhân tại ngân hàng TMCP Công thương Việt Nam – Chi nhánh Hồng Bàng.
Chương III: Giải pháp nhằm nâng cao chất lượng tín dụng cá nhân tại ngân hàng TMCP Công thương Việt Nam – Chi nhánh Hồng Bàng.
",Tài chính ngân hàng; Chất lượng tín dụng; Khách hàng cá nhân; Ngân hàng thương mại cổ phần Công thương Việt Nam; Chi nhánh Hồng Bàng,2013,Trường Đại học Dân lập Hải Phòng,89,1.591,Khóa luận,Tài chính ngân hàng,17_PhamThiHien_QT1303T.pdf
111,Nguyễn Thị Hương,Giải pháp nâng cao hiệu quả hoạt động cho vay khách hàng doanh nghiệp tại Phòng giao dịch Thuỷ Nguyên – Ngân hàng thương mại cổ phần Quốc tế Việt Nam,,Tài chính ngân hàng; Hiệu quả hoạt động; Hoạt động cho vay; Khách hàng doanh nghiệp; Phòng giao dịch Thuỷ Nguyên; Ngân hàng thương mại cổ phần Quốc tế Việt Nam,2013,Trường Đại học Dân lập Hải Phòng,86,1.278,Khóa luận,Tài chính ngân hàng,18_NguyenThiHuong_QT1303T.pdf
112,Khúc Thu Thủy,Thực trạng và giải pháp nâng cao chất lượng hoạt động cho vay tại Ngân hàng nông nghiệp và phát triển nông thôn Đồ Sơn,"Khóa luận gồm ba phần:
Chương 1: Lý luận về hoạt động cho vay tại ngân hàng thương mại
Chương 2: Thực trạng hoạt động cho vay tại NHNo&PTNT Đồ Sơn
Chương 3: Giải pháp nâng cao chất lượng hoạt động cho vay tại NHNo&PTNT Đồ Sơn
",Tài chính ngân hàng; Chất lượng hoạt động; Hoạt động cho vay; Ngân hàng nông nghiệp và phát triển nông thôn Đồ Sơn,2013,Trường Đại học Dân lập Hải Phòng,80,988,Khóa luận,Tài chính ngân hàng,19_KhucThuThuy_QT1303T.pdf
113,Đỗ Kim Phượng,Một số giải pháp nâng cao hiệu quả hoạt động cho vay hộ sản xuất tại Chi nhánh Ngân hàng nông nghiệp và phát triển nông thôn huyện Thủy Nguyên,"Đề tài được chia làm 3 chương:
Chương I: Hộ sản xuất và vai trò của tín dụng ngân hàng đối với kinh tế hộ sản xuất.
Chương II: Thực trạng hoạt động cho vay hộ sản xuất tại Chi nhánh NHNo&PTNT huyện Thủy Nguyên.
Chương III: Một số giải pháp nâng cao hiệu quả hoạt động cho vay hộ sản xuất tại Chi nhánh NHNo&PTNT huyện Thủy Nguyên.
",Tài chính ngân hàng; Hoạt động cho vay; Hộ sản xuất; Chi nhánh Ngân hàng nông nghiệp và phát triển nông thôn; Thủy Nguyên,2013,Trường Đại học Dân lập Hải Phòng,85,961,Khóa luận,Tài chính ngân hàng,20_DoKimPhuong_QT1302T.pdf
114,Nguyễn Thị Thanh Huyền,Một số giải pháp nhằm nâng cao hiệu quả hoạt động tín dụng tại chi nhánh Ngân hàng nông nghiệp và phát triển nông thôn huyện Thủy Nguyên,"Trong giai đoạn hiện nay,có rất nhiều Ngân hàng cùng tồn tại và phát triển,tạo nên sự cạnh tranh rất lớn.Hoạt động cho vay của Ngân hàng tuy đã đạt được những thành tựu,nhưng còn gặp nhiều khó khăn,thử thách.Do đó để tồn tại, phát triển cạnh tranh trong nền kinh tế có nhiều diễn biến phức tạp như hiện nay,nâng cao chất lượng hiệu quả hoạt động cho vay là vấn đề đặc biệt quan trọng mà các ngân hàng cần phải quan tâm.",Tài chính ngân hàng; Hiệu quả hoạt động; Tín dụng; Chi nhánh Ngân hàng nông nghiệp và phát triển nông thôn; Thủy Nguyên,2013,Trường Đại học Dân lập Hải Phòng,90,1.365,Khóa luận,Tài chính ngân hàng,21_NguyenThiThanhHuyen_QT1302T.pdf
115,Phạm Thị Minh Ngọc,Giải pháp nâng cao chất lượng tín dụng trung và dài hạn tại Ngân hàng TMCP Ngoại thương Việt Nam chi nhánh Hải Phòng,"Khóa luận nghiên cứu các vấn đề cơ bản về hoạt động tín dụng trung dài hạn và tình hình chất lượng tín dụng trung dài hạn của ngân hàng thương mại, xem xét đánh giá về thực trạng chất lượng tín dụng trung dài hạn tại Ngân hàng TMCP Ngoại thương Việt Nam chi nhánh Hải phòng. Từ đó đưa ra các giải pháp, kiến nghị nhằm nâng cao chất lượng tín dụng trung dài hạn tại chi nhánh, góp phần nâng cao chất lượng tín dụng trung và dài hạn tại Ngân hàng TMCP Ngoại thương Việt Nam chi nhánh Hải phòng.",Tài chính ngân hàng; Chất lượng tín dụng; Tín dụng trung; Tín trụng dài hạn; Ngân hàng Ngoại thương Việt Nam; Chi nhánh Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,98,1.078,Khóa luận,Tài chính ngân hàng,22_PhamThiMinhNgoc_QT1301T.pdf
116,Phạm Thị Duyên,Giải pháp nâng cao hiệu quả huy động vốn tiền gửi tại Ngân hàng nông nghiệp và phát triển nông thôn Việt Nam – Chi nhánh Vàm Láng Hải Phòng,"Mục tiêu nghiên cứu của luận văn là tìm hiểu về hoạt động huy động nguồn vốn tiền gửi của ngân hàng và các chỉ tiêu ảnh hưởng đến hoạt động huy động nguồn vốn tiền gửi của ngân hàng. Đồng thời, thông qua việc phân tích, đánh giá tình hình thực tế công tác huy động nguồn vốn tiền gửi từ tổ chức kinh tế và dân cư của Chi nhánh ngân hàng Nông nghiệp và Phát triển Nông thôn Vàm Láng, đưa ra những giải pháp cụ thể, khả thi nhằm nâng cao hiệu quả hoạt động huy động nguồn vốn tiền gửi tại Chi nhánh.",Tài chính ngân hàng; Hiệu quả huy động vốn; Huy động vốn tiền gửi; Ngân hàng nông nghiệp và phát triển nông thôn Việt Nam; Chi nhánh Vàm Láng Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,108,1.718,Khóa luận,Tài chính ngân hàng,23_PhamThiDuyen_QT1301T.pdf
117,Hoàng Thị Giang,Vận dụng quy trình cấp hạn mức tín dụng của Ngân hàng TMCP Xăng dầu PETROLIMEX – Chi nhánh Hải Phòng để xác định hạn mức tín dụng cho công ty CP Thép Việt Nhật,"Vận dụng quy trình cấp tín dụng để xác định hạn mức cho vay nhằm thỏa mãn nhu cầu của khách hàng giúp tối đa hóa lợi nhuận đồng thời tránh tình trạng cho vay quá mức ảnh hưởng tới khả năng thu nợ là vấn đề luôn được các ngân hàng quan tâm. Bên cạnh đó, hiểu được phương pháp xác định hạn mức tín dụng cũng như ưu điểm của phương pháp cho vay này giúp các doanh nghiệp lựa chọn phương thức huy động vốn hiệu quả.",Tài chính ngân hàng; Quy trình cấp hạn mức tín dụng; Hạn mức tín dụng; Ngân hàng Xăng dầu Petrolimex; Chi nhánh Hải Phòng; Công ty thép Việt Nhật,2013,Trường Đại học Dân lập Hải Phòng,131,1.355,Khóa luận,Tài chính ngân hàng,24_HoangThiGiang_QT1302T.pdf
118,Lê Ngọc Hồng Nhung,Giải pháp nâng cao hiệu quả cho vay tiêu dùng tại Sở giao dịch Ngân hàng TMCP Ngoại thương Việt Nam – chi nhánh Hà Nội,"Kết cấu khóa luận gồm các phần:
Chương I:  Những cơ sở lý luận chung về cho vay tiêu dùng của Ngân hàng thương mại.
Chương II: Thực trạng cho vay tiêu dùng tại Sở giao dịch Ngân hàng thương mại cổ phần Ngoại thương Việt Nam – chi nhánh Hà Nội.
Chương III: Giải pháp mở rộng cho vay tiêu dùng  tại Sở giao dịch  Ngân hàng thương mại cổ phần Ngoại thương Việt Nam – chi nhánh Hà Nội.
",Tài chính ngân hàng; Hiệu quả cho vay; Cho vay tiêu dùng; Sở giao dịch Ngân hàng Ngoại thương Việt Nam; Chi nhánh Hà Nội,2013,Trường Đại học Dân lập Hải Phòng,87,5.607,Khóa luận,Tài chính ngân hàng,25_LeNgocHongNhung_QT1302T.pdf
119,Nguyễn Thị Thúy Nga,Một số giải pháp nhằm nâng cao hiệu quả huy động vốn tiền gửi tại Ngân hàng thương mại cổ phần Sài Gòn Công thương- Chi nhánh Hải Phòng,,Tài chính ngân hàng; Huy động vốn; Tiền gửi; Ngân hàng thương mại cổ phần Sài Gòn Công thương; Chi nhánh Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,75,953,Khóa luận,Tài chính ngân hàng,26_NguyenThiThuyNga_QT1302T.pdf
120,Đào Thị Mơ ,Giải pháp tăng cường công tác huy động vốn có kỳ hạn tại Sở giao dịch Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam chi nhánh Hà Nội,"Ngoài phần mở đầu và phần kết luận, kết đề tài gồm 3 phần:
 Phần 1: Những vấn đề cơ bản về hoạt động huy động vốn của Ngân hàng thương mại.
  Phần 2: Thực trạng huy động vốn có kỳ hạn tại Sở giao dịch Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam chi nhánh Hà Nội.
 Phần 3: Một số giải pháp nhằm tăng cường công tác huy động vốn có kỳ hạn tại Sở giao dịch Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam chi nhánh Hà Nội.
",Tài chính ngân hàng; Huy động vốn có kỳ hạn; Sở giao dịch ngân hàng thương mại cổ phần ngoại thương; Chi nhánh Hà Nội,2013,Trường Đại học Dân lập Hải Phòng,90,1.768,Nghiên cứu khoa học,Tài chính ngân hàng,20_DaoThiMo_QT1302T.pdf
121,Đỗ Hồng Vân ,Vận dụng quy trình cấp tín dụng của ngân hàng thương mại cổ phần Công thương Việt Nam-chi nhánh Hồng Bàng để xác định hạn mức tín dụng cho công ty cổ phần Tuấn Nguyệt,"Đề tài giúp sinh viên khối ngành kinh tế nắm được quy trình cấp tín dụng của VietinBank Hồng Bàng để xác định hạn mức tín dụng cho doanh nghiệp.
• Những đóng góp liên quan đến phát triển kinh tế:
Đối với ngân hàng: là cơ sở để đáp ứng nhu cầu về vốn cho khách hàng nhằm nâng cao hiệu quả tín dụng, hạn chế rủi ro tín dụng đồng thời có cơ sở để tư vấn phương án cho vay đối với khách hàng.
Đối với doanh nghiệp: Là cơ sở lựa chọn phương án huy động vốn hiệu quả.
",Tài chính ngân hàng; Quy trình cấp tín dụng; Hạn mức tín dụng; Ngân hàng thương mại cổ phần Công thương; Chi nhánh Hồng Bàng; Công ty cổ phần Tuấn Nguyệt,2013,Trường Đại học Dân lập Hải Phòng,113,1.962,Nghiên cứu khoa học,Tài chính ngân hàng,24_DoHongVan_QT1303T.pdf
122,Lê Ngọc Hồng Nhung ,Giải pháp nhằm nâng cao hiệu quả cho vay khối khách hàng cá nhân tại Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam – chi nhánh Hà Nội ,"Ngoài phần mở đầu và kết luận, đề tài gồm có 3 chương:
Chương I:  Những cơ sở lý luận chung về cho vay khối khách hàng cá nhân của Ngân hàng thương mại.
Chương II: Thực trạng cho vay khối khách hàng cá nhân tại Sở giao dịch Ngân hàng thương mại cổ phần Ngoại thương Việt Nam – chi nhánh Hà Nội.
Chương III: Giải pháp nâng cao hiệu quả cho vay khối khách hàng cá nhân tại Sở giao dịch  Ngân hàng thương mại cổ phần Ngoại thương Việt Nam – chi nhánh Hà Nội.
",Tài chính ngân hàng; Mở rộng thị trường; Thị trường tiêu thụ; Công ty muối Khánh Vinh ,2013,Trường Đại học Dân lập Hải Phòng,88,7.313,Nghiên cứu khoa học,Tài chính ngân hàng,26_LeNgocHongNhung_QT1302T.pdf
